Label,File,Jf,Ja,Bandwidth,Power_dB
Croatia: Diver & DPV,RBW6737_20250723_094600.wav,0.8540130887918197,0.3510578452518979,4.0,-27.380465
Croatia: Diver & DPV,RBW6737_20250723_094700.wav,0.8244961624963839,0.5856359958084748,14.0,-46.942028
Croatia: Diver & DPV,RBW6737_20250723_094800.wav,0.78579119117425,0.49351476667196464,12.0,-36.463284
Croatia: Diver & DPV,RBW6737_20250723_094900.wav,0.8225359953866013,0.4858425888203241,2.0,-14.125996
Croatia: Diver & DPV,RBW6737_20250723_095000.wav,0.8404103759919147,0.4969152678774534,10.0,-15.449334
Croatia: Diver & DPV,RBW6737_20250723_095100.wav,0.933455619839294,0.7607183712829602,18.0,-42.968216
Croatia: Diver & DPV,RBW6737_20250723_095200.wav,0.8973745153390741,0.7268677885975386,6.0,-39.49859
Croatia: Diver & DPV,RBW6737_20250723_095300.wav,0.9085053525815439,0.7510509928391033,4.0,-37.334732
Croatia: Diver & DPV,RBW6737_20250723_095400.wav,0.8002025348723957,0.5891973186352077,3.0,-27.050919
Croatia: Diver & DPV,RBW6737_20250723_095500.wav,0.9043729335231326,0.5252643352103242,45.0,-23.632229
Croatia: Diver & DPV,RBW6737_20250723_095600.wav,0.7118752663648672,0.6319052691846888,5.0,-51.51442
Croatia: Diver & DPV,RBW6737_20250723_095700.wav,0.8728212735108684,0.19455275291569,69.0,-18.806973
Croatia: Diver & DPV,RBW6737_20250723_095800.wav,0.9328181420567535,0.49911070791491813,15.0,-20.615791
Croatia: Diver & DPV,RBW6737_20250723_095900.wav,0.9891734973245954,0.7701435994088115,26.0,-42.544968
Croatia: Diver & DPV,RBW6737_20250723_100000.wav,0.9904174810784223,0.6951292496816778,12.0,-42.373535
Croatia: Diver & DPV,RBW6737_20250723_100100.wav,0.9425926202098176,0.8433673465237569,30.0,-43.86007
Croatia: Diver & DPV,RBW6737_20250723_100200.wav,0.8856178363804741,0.815315249615003,3.0,-42.764023
